Index,Date,Released,Year,Released,Title,Theatrical,Genre,Source,Production,Creative,Production,Opening Weekend,Maximum,Theatrical,Opening Weekend,Domestic,Infl. Adj. Dom.,International,Worldwide,Profit
33,25-Sep-09,25-Sep-09,2009,2009,Paranormal Activity,Paramount Pictures,Horror,Original Screenplay,Live Action,Fantasy,"$450,000 ",12,"2,712","14,399","$77,873 ",107.92,"$129,067,105 ","$86,264,224 ","$194,183,034 ","$107,468,810 "
69,6-Jan-12,6-Jan-12,2012,2012,The Devil Inside,Paramount Pictures,Horror,Original Screenplay,Live Action,Fantasy,"$1,000,000 ","2,285","2,551","8,309","$33,732,515 ",53.26,"$60,021,176 ","$48,496,545 ","$101,759,490 ","$52,262,945 "
99,21-Mar-14,21-Mar-14,2014,2014,God’s Not Dead,Pure Flix Entertainment,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$1,150,000 ",780,"1,860","13,176","$9,244,641 ",60.76,"$66,704,885 ","$3,021,360 ","$63,777,092 ","$59,605,732 "
68,1-Apr-11,1-Apr-11,2011,2011,Insidious,FilmDistrict,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$1,500,000 ","2,408","2,419","14,066","$13,271,464 ",54.01,"$61,092,311 ","$45,861,736 ","$99,870,886 ","$52,509,150 "
81,27-Aug-10,27-Aug-10,2010,2010,The Last Exorcism,Lionsgate,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$1,800,000 ","2,874","2,874","11,506","$20,366,613 ",41.03,"$46,651,212 ","$29,131,550 ","$70,165,900 ","$39,234,350 "
40,20-Oct-10,20-Oct-10,2010,2010,Paranormal Activity 2,Paramount Pictures,Horror,Original Screenplay,Live Action,Fantasy,"$3,000,000 ","3,216","3,239","14,325","$40,678,424 ",84.75,"$96,353,533 ","$92,759,125 ","$177,512,032 ","$81,752,907 "
77,12-Oct-12,5-Oct-12,2012,2012,Sinister,Lionsgate,Thriller/Suspense,Original Screenplay,Live Action,Fantasy,"$3,000,000 ","2,527","2,542","12,418","$18,007,634 ",48.09,"$54,188,380 ","$39,640,904 ","$87,727,807 ","$45,086,903 "
78,7-Jun-13,7-Jun-13,2013,2013,The Purge,Universal,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$3,000,000 ","2,536","2,591","9,330","$34,058,360 ",64.47,"$71,134,540 ","$26,793,466 ","$91,266,581 ","$61,473,115 "
94,28-Aug-15,27-Aug-15,2015,2015,War Room,Sony Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$3,000,000 ","1,135","1,945","13,751","$11,351,389 ",67.79,"$70,896,010 ","$6,185,122 ","$73,975,239 ","$64,790,117 "
52,13-Apr-18,12-Apr-18,2018,2018,Truth or Dare,Universal,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$3,500,000 ","3,029","3,068","12,336","$18,667,855 ",40.72,"$40,717,020 ","$53,712,186 ","$94,429,206 ","$37,217,020 "
33,21-Oct-11,21-Oct-11,2011,2011,Paranormal Activity 3,Paramount Pictures,Horror,Original Screenplay,Live Action,Fantasy,"$5,000,000 ","3,321","3,329","15,480","$52,568,183 ",104.03,"$117,671,833 ","$98,024,579 ","$202,053,386 ","$99,028,807 "
52,19-Oct-12,17-Oct-12,2012,2012,Paranormal Activity 4,Paramount Pictures,Horror,Original Screenplay,Live Action,Fantasy,"$5,000,000 ","3,412","3,412","13,511","$29,003,866 ",53.9,"$60,739,440 ","$86,719,185 ","$140,619,520 ","$48,900,335 "
49,13-Sep-13,13-Sep-13,2013,2013,Insidious Chapter 2,FilmDistrict,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$5,000,000 ","3,049","3,155","18,494","$40,272,103 ",83.59,"$92,222,678 ","$78,335,068 ","$161,921,515 ","$78,586,447 "
69,30-Aug-13,30-Aug-13,2013,2013,No se Aceptan Devoluciones,Lionsgate,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$5,000,000 ",348,978,"6,720","$7,846,426 ",44.47,"$49,061,603 ","$56,019,410 ","$100,486,616 ","$39,467,206 "
69,24-Oct-14,24-Oct-14,2014,2014,Ouija,Universal,Horror,Game,Live Action,Fantasy,"$5,000,000 ","2,858","2,899","13,220","$19,875,995 ",50.86,"$55,835,783 ","$52,444,622 ","$103,300,632 ","$45,856,010 "
