Type,count2008,count2009,count2010,count2011,count2012,count2013,count2014,count2015,count2016,count2017,count2018
Theme Park Ride,0,0,0,241,0,0,0,0,0,173,0
Comic,239,115,121,121,378,139,161,191,271,199,478
Spin-Off,0,180,61,149,68,235,110,178,383,0,193
Toy,0,150,0,0,0,123,258,0,154,118,0
Fairytale,0,0,153,76,101,174,100,201,48,110,0
TV,88,127,94,176,73,118,140,122,159,91,30
Fiction Book,82,102,132,93,119,119,129,167,76,77,114
Factual Book,0,150,50,99,103,104,107,106,90,119,40
Original Screenplay,79,98,86,72,84,95,79,106,107,124,93
Remake,46,68,78,86,67,40,138,38,99,245,71
Song,0,0,0,0,0,0,0,0,0,0,83
Religious,0,0,0,0,0,0,75,0,0,0,0
Short Film,0,0,63,0,35,87,64,79,67,0,0
Musical,144,20,0,0,39,0,0,0,0,0,0
Real Life Event,53,39,62,51,67,84,47,64,44,103,31
