Index,Released,released_year,Title,Theatrical,Genre,Source,Production,Creative,Production,Opening Weekend,Maximum,Theatrical,Opening Weekend,Domestic,Infl. Adj. Dom.,International,Worldwide
1,18-Jul-08,2008,The Dark Knight,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$185,000,000 ","4,366","4,366","39,170","$158,411,483 ","$533,345,358 ","$666,185,359 ","$468,275,260 ","$1,001,620,618 "
2,22-May-08,2008,Indiana Jones and the Kingdom of the …,Paramount Pictures,Adventure,Original Screenplay,Live Action,Historical Fiction,"$185,000,000 ","4,260","4,264","29,717","$100,137,835 ","$317,101,119 ","$396,155,574 ","$469,534,294 ","$786,635,413 "
3,6-Jun-08,2008,Kung Fu Panda,Paramount Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$130,000,000 ","4,114","4,136","28,198","$60,239,130 ","$215,434,591 ","$269,143,217 ","$416,475,940 ","$631,910,531 "
4,1-Jul-08,2008,Hancock,Sony Pictures,Action,Original Screenplay,Live Action,Super Hero,"$150,000,000 ","3,965","3,965","22,802","$62,603,879 ","$227,946,274 ","$284,774,097 ","$396,287,998 ","$624,234,272 "
5,18-Jul-08,2008,Mamma Mia!,Universal,Musical,Based on Musical or Opera,Live Action,Contemporary Fiction,"$52,000,000 ","2,976","3,194","25,784","$27,751,240 ","$144,130,063 ","$180,062,210 ","$471,618,709 ","$615,748,772 "
6,7-Nov-08,2008,Madagascar: Escape 2 Africa,Paramount Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$150,000,000 ","4,056","4,065","27,304","$63,106,589 ","$180,174,880 ","$224,924,795 ","$419,505,894 ","$599,680,774 "
7,14-Nov-08,2008,Quantum of Solace,Sony Pictures,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$230,000,000 ","3,451","3,501","21,082","$67,528,882 ","$169,368,427 ","$211,456,762 ","$422,323,651 ","$591,692,078 "
8,2-May-08,2008,Iron Man,Paramount Pictures,Adventure,Based on Comic/Graphic Novel,Live Action,Super Hero,"$186,000,000 ","4,105","4,154","33,088","$102,118,668 ","$318,604,126 ","$398,011,700 ","$266,567,421 ","$585,171,547 "
9,27-Jun-08,2008,WALL-E,Walt Disney,Adventure,Original Screenplay,Digital Animation,Science Fiction,"$180,000,000 ","3,992","3,992","31,093","$63,087,526 ","$223,808,164 ","$279,604,283 ","$308,699,861 ","$532,508,025 "
10,16-May-08,2008,The Chronicles of Narnia: Prince Caspian,Walt Disney,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$225,000,000 ","3,929","3,929","21,333","$55,034,805 ","$141,621,490 ","$176,928,236 ","$275,719,798 ","$417,341,288 "
